,DATE,RATE
0,1999-05-06,4.75
1,1999-05-07,4.75
2,1999-05-08,4.75
3,1999-05-09,4.75
4,1999-05-10,4.75
5,1999-05-11,4.75
6,1999-05-12,4.75
7,1999-05-13,4.75
8,1999-05-14,4.75
9,1999-05-15,4.75
10,1999-05-16,4.75
11,1999-05-17,4.75
12,1999-05-18,4.75
13,1999-05-19,4.75
14,1999-05-20,4.75
15,1999-05-21,4.75
16,1999-05-22,4.75
17,1999-05-23,4.75
18,1999-05-24,4.75
19,1999-05-25,4.75
20,1999-05-26,4.75
21,1999-05-27,4.75
22,1999-05-28,4.75
23,1999-05-29,4.75
24,1999-05-30,4.75
25,1999-05-31,4.75
26,1999-06-01,4.75
27,1999-06-02,4.75
28,1999-06-03,4.75
29,1999-06-04,4.75
30,1999-06-05,4.75
31,1999-06-06,4.75
32,1999-06-07,4.75
33,1999-06-08,4.75
34,1999-06-09,4.75
35,1999-06-10,4.75
36,1999-06-11,4.75
37,1999-06-12,4.75
38,1999-06-13,4.75
39,1999-06-14,4.75
40,1999-06-15,4.75
41,1999-06-16,4.75
42,1999-06-17,4.75
43,1999-06-18,4.75
44,1999-06-19,4.75
45,1999-06-20,4.75
46,1999-06-21,4.75
47,1999-06-22,4.75
48,1999-06-23,4.75
49,1999-06-24,4.75
50,1999-06-25,4.75
51,1999-06-26,4.75
52,1999-06-27,4.75
53,1999-06-28,4.75
54,1999-06-29,4.75
55,1999-06-30,4.75
56,1999-07-01,4.75
57,1999-07-02,4.75
58,1999-07-03,4.75
59,1999-07-04,4.75
60,1999-07-05,4.75
61,1999-07-06,4.75
62,1999-07-07,4.75
63,1999-07-08,4.75
64,1999-07-09,4.75
65,1999-07-10,4.75
66,1999-07-11,4.75
67,1999-07-12,4.75
68,1999-07-13,4.75
69,1999-07-14,4.75
70,1999-07-15,4.75
71,1999-07-16,4.75
72,1999-07-17,4.75
73,1999-07-18,4.75
74,1999-07-19,4.75
75,1999-07-20,4.75
76,1999-07-21,4.75
77,1999-07-22,4.75
78,1999-07-23,4.75
79,1999-07-24,4.75
80,1999-07-25,4.75
81,1999-07-26,4.75
82,1999-07-27,4.75
83,1999-07-28,4.75
84,1999-07-29,4.75
85,1999-07-30,4.75
86,1999-07-31,4.75
87,1999-08-01,4.75
88,1999-08-02,4.75
89,1999-08-03,4.75
90,1999-08-04,4.75
91,1999-08-05,4.75
92,1999-08-06,4.75
93,1999-08-07,4.75
94,1999-08-08,4.75
95,1999-08-09,4.75
96,1999-08-10,4.75
97,1999-08-11,4.75
98,1999-08-12,4.75
99,1999-08-13,4.75
100,1999-08-14,4.75
101,1999-08-15,4.75
102,1999-08-16,4.75
103,1999-08-17,4.75
104,1999-08-18,4.75
105,1999-08-19,4.75
106,1999-08-20,4.75
107,1999-08-21,4.75
108,1999-08-22,4.75
109,1999-08-23,4.75
110,1999-08-24,4.75
111,1999-08-25,4.75
112,1999-08-26,4.75
113,1999-08-27,4.75
114,1999-08-28,4.75
115,1999-08-29,4.75
116,1999-08-30,4.75
117,1999-08-31,4.75
118,1999-09-01,4.75
119,1999-09-02,4.75
120,1999-09-03,4.75
121,1999-09-04,4.75
122,1999-09-05,4.75
123,1999-09-06,4.75
124,1999-09-07,4.75
125,1999-09-08,4.75
126,1999-09-09,4.75
127,1999-09-10,4.75
128,1999-09-11,4.75
129,1999-09-12,4.75
130,1999-09-13,4.75
131,1999-09-14,4.75
132,1999-09-15,4.75
133,1999-09-16,4.75
