,DATE,RATE
0,2005-05-02,3.29
1,2005-05-03,3.3
2,2005-05-04,3.21
3,2005-05-05,3.21
4,2005-05-06,3.27
5,2005-05-07,3.27
6,2005-05-08,3.27
7,2005-05-09,3.29
8,2005-05-10,3.3
9,2005-05-11,3.3
10,2005-05-12,3.3
11,2005-05-13,3.29
12,2005-05-14,3.29
13,2005-05-15,3.29
14,2005-05-16,3.29
15,2005-05-17,3.29
16,2005-05-18,3.29
17,2005-05-19,3.19
18,2005-05-20,3.23
19,2005-05-21,3.23
20,2005-05-22,3.23
21,2005-05-23,3.29
22,2005-05-24,3.29
23,2005-05-25,3.29
24,2005-05-26,3.29
25,2005-05-27,3.29
26,2005-05-28,3.29
27,2005-05-29,3.29
28,2005-05-30,3.29
29,2005-05-31,3.29
30,2005-06-01,3.28
31,2005-06-02,3.28
32,2005-06-03,3.21
33,2005-06-04,3.21
34,2005-06-05,3.21
35,2005-06-06,3.21
36,2005-06-07,3.2
37,2005-06-08,3.28
38,2005-06-09,3.28
39,2005-06-10,3.29
40,2005-06-11,3.29
41,2005-06-12,3.29
42,2005-06-13,3.28
43,2005-06-14,3.29
44,2005-06-15,3.28
45,2005-06-16,3.27
46,2005-06-17,3.27
47,2005-06-18,3.27
48,2005-06-19,3.27
49,2005-06-20,3.27
50,2005-06-21,3.2
51,2005-06-22,3.21
52,2005-06-23,3.27
53,2005-06-24,3.27
54,2005-06-25,3.27
55,2005-06-26,3.27
56,2005-06-27,3.27
57,2005-06-28,3.26
58,2005-06-29,3.26
59,2005-06-30,3.3
60,2005-07-01,3.26
61,2005-07-02,3.26
62,2005-07-03,3.26
63,2005-07-04,3.25
64,2005-07-05,3.23
65,2005-07-06,3.09
66,2005-07-07,3.03
67,2005-07-08,3.12
68,2005-07-09,3.12
69,2005-07-10,3.12
70,2005-07-11,3.21
71,2005-07-12,3.21
72,2005-07-13,3.27
73,2005-07-14,3.27
74,2005-07-15,3.26
75,2005-07-16,3.26
76,2005-07-17,3.26
77,2005-07-18,3.26
78,2005-07-19,3.27
79,2005-07-20,3.27
80,2005-07-21,3.21
81,2005-07-22,3.29
82,2005-07-23,3.29
83,2005-07-24,3.29
84,2005-07-25,3.28
85,2005-07-26,3.27
86,2005-07-27,3.27
87,2005-07-28,3.28
88,2005-07-29,3.27
89,2005-07-30,3.27
90,2005-07-31,3.27
91,2005-08-01,3.27
92,2005-08-02,3.27
93,2005-08-03,3.27
94,2005-08-04,3.27
95,2005-08-05,3.23
96,2005-08-06,3.23
97,2005-08-07,3.23
98,2005-08-08,3.26
99,2005-08-09,3.26
100,2005-08-10,3.26
101,2005-08-11,3.26
102,2005-08-12,3.25
103,2005-08-13,3.25
104,2005-08-14,3.25
