index,hawkish,dovish,cnt,prob_hawkish,prob_dovish,polarity_score
인플레이션/NNG;경계/NNG,24,9,33,0.00033523298692591353,0.00012571237009721757,2.666666666666667
원화/NNG;하락/NNG,29,42,71,0.0004050731925354788,0.0005866577271203486,0.6904761904761905
금리/NNG;인하/NNG;기대/NNG;꺾/VV,5,11,16,6.984020560956531e-05,0.00015364845234104368,0.4545454545454546
하락/NNG;과도/NNG,11,8,19,0.00015364845234104368,0.00011174432897530451,1.3749999999999998
지수/NNG;밀리/VV,16,11,27,0.00022348865795060902,0.00015364845234104368,1.4545454545454548
통화/NNG;긴축/NNG,103,37,140,0.0014387082355570456,0.0005168175215107834,2.7837837837837838
이자/NNG;납입/NNG;유예/NNG,8,24,32,0.00011174432897530451,0.00033523298692591353,0.3333333333333333
금리/NNG;인하/NNG,1938,3974,5912,0.027070063694267517,0.05550899541848251,0.4876698540513337
물가/NNG;급등/NNG,94,32,126,0.001312995865459828,0.00044697731590121804,2.9375
지수/NNG;부담/NNG,17,9,26,0.00023745669907252208,0.00012571237009721757,1.8888888888888888
금리/NNG;변동/NNG;위험/NNG,22,31,53,0.00030729690468208736,0.00043300927477930493,0.7096774193548387
물가/NNG;지표/NNG;호조/NNG,15,5,20,0.00020952061682869594,6.984020560956531e-05,3.0
위기/NNG;경고/NNG,13,7,20,0.00018158453458486982,9.777628785339144e-05,1.8571428571428572
경제/NNG;둔화/NNG;우려/NNG,17,13,30,0.00023745669907252208,0.00018158453458486982,1.3076923076923077
심리/NNG;개선/NNG,16,12,28,0.00022348865795060902,0.00016761649346295676,1.3333333333333333
채권/NNG;금리/NNG;인상/NNG,10,14,24,0.00013968041121913062,0.00019555257570678288,0.7142857142857143
경제/NNG;성장률/NNG;그치/VV,13,34,47,0.00018158453458486982,0.00047491339814504415,0.38235294117647056
수익구조/NNG;개선/NNG,14,7,21,0.00019555257570678288,9.777628785339144e-05,2.0
fed/NNG;금리/NNG;인상/NNG;서둘/VV;않/VX,3,16,19,4.190412336573919e-05,0.00022348865795060902,0.1875
위험/NNG;없/VA,14,8,22,0.00019555257570678288,0.00011174432897530451,1.7499999999999998
하락/NNG;최대/NNG,20,6,26,0.00027936082243826125,8.380824673147838e-05,3.333333333333333
생산자/NNG;물가/NNG;상승/NNG,16,7,23,0.00022348865795060902,9.777628785339144e-05,2.285714285714286
높/VA;상승/NNG,17,9,26,0.00023745669907252208,0.00012571237009721757,1.8888888888888888
국채선물/NNG;상승/NNG;축소/NNG,6,11,17,8.380824673147838e-05,0.00015364845234104368,0.5454545454545455
중소기업/NNG;금융/NNG;비용/NNG;부담/NNG,15,7,22,0.00020952061682869594,9.777628785339144e-05,2.142857142857143
금리/NNG;인하/NNG;기대/NNG;강세/NNG,4,17,21,5.5872164487652255e-05,0.00023745669907252208,0.23529411764705882
내수/NNG;활성화/NNG,16,26,42,0.00022348865795060902,0.00036316906916973964,0.6153846153846154
원화/NNG;급락/NNG,9,21,30,0.00012571237009721757,0.0002933288635601743,0.4285714285714286
경제/NNG;저성장/NNG,22,15,37,0.00030729690468208736,0.00020952061682869594,1.4666666666666666
fed/NNG;경기/NNG;회복/NNG,25,16,41,0.0003492010280478266,0.00022348865795060902,1.5625
시중/NNG;금리/NNG;하락/NNG,6,10,16,8.380824673147838e-05,0.00013968041121913062,0.6000000000000001
가계/NNG;대출/NNG;금리/NNG;상승/NNG,19,14,33,0.0002653927813163482,0.00019555257570678288,1.3571428571428572
아직/MAG;정하/VV;지지/NNG;않/VX,14,20,34,0.00019555257570678288,0.00027936082243826125,0.7000000000000001
금리/NNG;깜짝/MAG;인상/NNG,17,4,21,0.00023745669907252208,5.5872164487652255e-05,4.25
인플레이션/NNG;고점/NNG,11,5,16,0.00015364845234104368,6.984020560956531e-05,2.1999999999999997
무제한/NNG;양적완화/NNG,5,24,29,6.984020560956531e-05,0.00033523298692591353,0.20833333333333331
저점/NNG;낮/VV,55,36,91,0.0007682422617052185,0.0005028494803888703,1.527777777777778
가계/NNG;부채/NNG;우려/NNG,16,40,56,0.00022348865795060902,0.0005587216448765225,0.4
신흥시장/NNG;불안/NNG,17,10,27,0.00023745669907252208,0.00013968041121913062,1.7000000000000002
불안/NNG;증폭/NNG,14,9,23,0.00019555257570678288,0.00012571237009721757,1.5555555555555556
담보/NNG;잡/VV,13,21,34,0.00018158453458486982,0.0002933288635601743,0.6190476190476191
질적/VAX;성장/NNG,18,7,25,0.00025142474019443513,9.777628785339144e-05,2.5714285714285716
지수/NNG;불안/NNG,10,6,16,0.00013968041121913062,8.380824673147838e-05,1.6666666666666665
국채/NNG;금리/NNG;강세/NNG,11,5,16,0.00015364845234104368,6.984020560956531e-05,2.1999999999999997
주택/NNG;지표/NNG;호조/NNG,19,11,30,0.0002653927813163482,0.00015364845234104368,1.7272727272727273
재정/NNG;안정/NNG,14,6,20,0.00019555257570678288,8.380824673147838e-05,2.333333333333333
미/NNG;국채/NNG;가격/NNG;급락/NNG,23,2,25,0.00032126494580400047,2.7936082243826127e-05,11.5
전망/NNG;금리/NNG;인하/NNG,8,17,25,0.00011174432897530451,0.00023745669907252208,0.47058823529411764
금융시장/NNG;최대/NNG,14,9,23,0.00019555257570678288,0.00012571237009721757,1.5555555555555556
부동산/NNG;거래/NNG;활성화/NNG,19,13,32,0.0002653927813163482,0.00018158453458486982,1.4615384615384615
금리/NNG;강세/NNG,17,33,50,0.00023745669907252208,0.0004609453570231311,0.5151515151515151
물가/NNG;상승/NNG;압력/NNG;높/VA,12,6,18,0.00016761649346295676,8.380824673147838e-05,2.0
구매/NNG;최대/NNG,16,12,28,0.00022348865795060902,0.00016761649346295676,1.3333333333333333
글로벌/NNG;금융/NNG;불안/NNG,12,17,29,0.00016761649346295676,0.00023745669907252208,0.7058823529411765
금리/NNG;하락/NNG;상승/NNG,12,27,39,0.00016761649346295676,0.0003771371102916527,0.4444444444444445
이익/NNG;모멘텀/NNG,7,13,20,9.777628785339144e-05,0.00018158453458486982,0.5384615384615384
최저/NNG;추락/NNG,29,18,47,0.0004050731925354788,0.00025142474019443513,1.6111111111111112
글로벌/NNG;경제/NNG;불안/NNG,2,15,17,2.7936082243826127e-05,0.00020952061682869594,0.13333333333333336
외환시장/NNG;달러원/NNG;금리/NNG;인상/NNG,6,10,16,8.380824673147838e-05,0.00013968041121913062,0.6000000000000001
제한적/VAX;상승/NNG,16,31,47,0.00022348865795060902,0.00043300927477930493,0.5161290322580646
긴축/NNG;부담/NNG,11,5,16,0.00015364845234104368,6.984020560956531e-05,2.1999999999999997
